,question,answer
0,有对象了吗？,哦，我这边对象倒是有很多，就是不知道您问的是哪个“对象”呢？是手机对象还是电脑对象？哈哈，开个玩笑，这个问题我就不正面回答了，咱们聊点别的吧！
1,有对象了吗？,哦，我这边对象倒是不少，就是没找到一个能跟您家孩子比的。您家孩子真是让人羡慕啊，不知道有没有什么秘诀可以传授给我呢？哈哈。
2,有对象了吗？,哎呀，我这是桃花还没开呢，得等着春暖花开的时候吧。您家的小花儿是不是开得正盛呀？
3,有对象了吗？,哦，我最近忙着跟我的事业谈恋爱呢，它比任何对象都靠谱。您说是吧？哈哈。
4,有对象了吗？,哦，我这边对象倒是一大堆，就是不知道哪个能变成“对”的象呢。嘿嘿，您说是不是？
5,有对象了吗？,哦，我这个人啊，对象不对象的，不重要，主要是想先成为亲戚们眼中的“成功人士”嘛，毕竟事业为重，哈哈。您说对吧？
6,有对象了吗？,哦，我这不是怕对象耽误我孝顺您们嘛，所以一直专心致志地学习怎么做个好孩子呢。您说对吧，亲戚？
7,有对象了吗？,哦，我最近忙着为国家做贡献，个人问题就先放一边了，哈哈。您家的小宝贝是不是又长高了不少啊？
8,有对象了吗？,哦，我这里的“对象”每天都挺忙的，忙着帮我赚钱呢，哈哈，您懂的嘛，事业为重！
9,有对象了吗？,哎呀，我这不是怕带了对象回来，抢了你们的风头嘛，毕竟我这么优秀，可得好好挑挑。哈哈，来来来，吃菜吃菜，别光顾着问我这些啦。
10,有对象了吗？,哦，我这个人比较慢热，还在跟我的事业谈恋爱呢，哈哈。您家的小宝贝是不是又长高了不少呀？转移话题也是一种策略。
11,有对象了吗？,哦，我这不是怕对象太优秀，把大家都比下去嘛，所以还在努力寻找那个能让大家都能接受的人选呢。嘿嘿，您说是吧？
12,有对象了吗？,哎呀，我这是天天忙得跟什么似的，哪有时间去找对象啊？再说，现在的对象哪有咱们家这些亲戚有趣，不是吗？哈哈。
13,有对象了吗？,哎呀，我这不是正在和丘比特谈判嘛，谁知道他什么时候能射中我呢？哈哈，您不用担心，缘分到了自然就有啦。您最近怎么样？工作顺利吗？转移话题也是一种好办法哦。
14,有对象了吗？,哦，我这边还在忙着跟我的事业恋爱呢，它可是个占有欲很强的伴侣，不太允许我有别的对象。嘿嘿，您说是吧？
15,有对象了吗？,哦，我这不是怕对象影响我孝顺您们嘛，还是先专心致志地陪伴家人最重要啦！您说对吧？😉
16,有对象了吗？,哦，我这不是怕对象太多，到时候你们送礼物送不过来嘛，所以还在精挑细选呢。
17,有对象了吗？,哦，我最近一直在忙于“追求”我的事业，看来它比任何对象都要专一呢。哈哈，您说是吧？
18,有对象了吗？,哎呀，我这是天天忙得跟旋转的陀螺似的，哪儿有时间去管那些风花雪月的事情呢？再说，这缘分天注定，急也急不来，您说是不是？呵呵。
19,有对象了吗？,哦，我这不是怕对象影响我专心给您拜年嘛，所以一直没敢找。您放心，有好事儿我肯定第一时间告诉您！
20,有对象了吗？,哎呀，我这不是正在努力找那个能和我一起数星星看月亮的人嘛，哪像您家孩子那么优秀，早早地就把人生大事解决了。我这还得再等等，说不定缘分就在拐角处呢。
21,有对象了吗？,哎呀，我这不是怕带对象回来吓到你们嘛，毕竟我这么优秀，得好好挑挑拣拣呢。嘿嘿，您说是吧？
22,有对象了吗？,哎呀，我这不是怕带回来吓到你们嘛，还是先保密吧，等有了好消息自然会告诉大家的。嘿嘿。
23,有对象了吗？,哦，我这不是怕对象影响我专心给你们拜年嘛，还是单身自由，可以全心全意地陪大家。您说是吧？嘿嘿。
24,有对象了吗？,哎呀，我这不是怕对象太优秀，把大家都比下去嘛，所以还在慢慢找，不急不急～
25,有对象了吗？,哎呀，我这是桃花还没开呢，得亏您提醒我了，看来明年得好好拜拜月老啦！您家的小伙子/小姑娘是不是快到了论及婚嫁的时候了？可得多传授点经验给我呀！
26,有对象了吗？,哎呀，我这不是怕带了对象回来，你们这些长辈又要开始催婚了吗？还是让我先自由自在享受一下单身生活吧！哈哈。
27,有对象了吗？,哎呀，我这不是怕对象太优秀，把你们都比下去了嘛，所以还在慢慢找，不着急，不着急。
28,有对象了吗？,哦，我这不是怕对象太抢眼，抢了您老人家的风头嘛，所以还在努力培养感情呢，哈哈。
29,有对象了吗？,哎呀，我这不是怕带对象回来吓到你们嘛，毕竟我这么优秀，可得好好挑挑呢。嘿嘿，您说是吧？
